passer,team,pass_count,passer_x,passer_y,recipient,recipient_x,recipient_y
Laureano Bisan-Etame Mayer,Arsenal,18.0,59.878431372549024,70.21372549019608,Fredrik Ljungberg,76.29743589743589,57.917948717948725
Jens Lehmann,Arsenal,15.0,10.503125,39.065625,Thierry Henry,81.68846153846154,32.04615384615385
Ashley Cole,Arsenal,13.0,41.465714285714284,10.897142857142857,Patrick Vieira,59.05614035087719,36.34561403508771
Robert Pirès,Arsenal,12.0,65.03947368421052,19.54736842105263,Thierry Henry,81.68846153846154,32.04615384615385
Gilberto Aparecido da Silva,Arsenal,12.0,56.426086956521736,46.61521739130435,Patrick Vieira,59.05614035087719,36.34561403508771
Patrick Vieira,Arsenal,11.0,59.05614035087719,36.34561403508771,Thierry Henry,81.68846153846154,32.04615384615385
Fredrik Ljungberg,Arsenal,11.0,76.29743589743589,57.917948717948725,Laureano Bisan-Etame Mayer,59.878431372549024,70.21372549019608
Patrick Vieira,Arsenal,10.0,59.05614035087719,36.34561403508771,Robert Pirès,65.03947368421052,19.54736842105263
Fredrik Ljungberg,Arsenal,9.0,76.29743589743589,57.917948717948725,Thierry Henry,81.68846153846154,32.04615384615385
Ashley Cole,Arsenal,8.0,41.465714285714284,10.897142857142857,Robert Pirès,65.03947368421052,19.54736842105263
Laureano Bisan-Etame Mayer,Arsenal,8.0,59.878431372549024,70.21372549019608,Gilberto Aparecido da Silva,56.426086956521736,46.61521739130435
Patrick Vieira,Arsenal,8.0,59.05614035087719,36.34561403508771,Fredrik Ljungberg,76.29743589743589,57.917948717948725
Gilberto Aparecido da Silva,Arsenal,8.0,56.426086956521736,46.61521739130435,Thierry Henry,81.68846153846154,32.04615384615385
Patrick Vieira,Arsenal,7.0,59.05614035087719,36.34561403508771,Laureano Bisan-Etame Mayer,59.878431372549024,70.21372549019608
Gilberto Aparecido da Silva,Arsenal,7.0,56.426086956521736,46.61521739130435,Ashley Cole,41.465714285714284,10.897142857142857
Robert Pirès,Arsenal,7.0,65.03947368421052,19.54736842105263,Patrick Vieira,59.05614035087719,36.34561403508771
Patrick Vieira,Arsenal,7.0,59.05614035087719,36.34561403508771,Gilberto Aparecido da Silva,56.426086956521736,46.61521739130435
Fredrik Ljungberg,Arsenal,6.0,76.29743589743589,57.917948717948725,Gilberto Aparecido da Silva,56.426086956521736,46.61521739130435
Gilberto Aparecido da Silva,Arsenal,6.0,56.426086956521736,46.61521739130435,Laureano Bisan-Etame Mayer,59.878431372549024,70.21372549019608
Sylvain Wiltord,Arsenal,6.0,75.12352941176471,40.42941176470588,Fredrik Ljungberg,76.29743589743589,57.917948717948725
Laureano Bisan-Etame Mayer,Arsenal,6.0,59.878431372549024,70.21372549019608,Patrick Vieira,59.05614035087719,36.34561403508771
Kolo Habib Touré,Arsenal,5.0,34.66875,49.48125,Jens Lehmann,10.503125,39.065625
Ashley Cole,Arsenal,5.0,41.465714285714284,10.897142857142857,Thierry Henry,81.68846153846154,32.04615384615385
Robert Pirès,Arsenal,5.0,65.03947368421052,19.54736842105263,Ashley Cole,41.465714285714284,10.897142857142857
Thierry Henry,Arsenal,5.0,81.68846153846154,32.04615384615385,Robert Pirès,65.03947368421052,19.54736842105263
Martin Keown,Arsenal,5.0,36.17333333333333,63.413333333333334,Laureano Bisan-Etame Mayer,59.878431372549024,70.21372549019608
Fredrik Ljungberg,Arsenal,5.0,76.29743589743589,57.917948717948725,Patrick Vieira,59.05614035087719,36.34561403508771
