player,team,minute,x,y,shot_statsbomb_xg,shot_outcome
Sylvain Wiltord,Arsenal,3,91.5,37.1,0.02833326,Off T
Thierry Henry,Arsenal,10,92.5,11.9,0.005752155,Off T
Thierry Henry,Arsenal,15,99.0,47.7,0.08502913,Off T
Kolo Habib Touré,Arsenal,18,114.5,46.0,0.084166765,Off T
Robert Pirès,Arsenal,31,98.4,44.7,0.031619214,Blocked
Thierry Henry,Arsenal,34,107.9,39.7,0.7835,Goal
Robert Pirès,Arsenal,37,107.9,37.8,0.10632388,Off T
Martin Keown,Arsenal,49,115.8,47.3,0.07569863,Blocked
Patrick Vieira,Arsenal,51,115.2,42.6,0.13228226,Off T
Patrick Vieira,Arsenal,57,92.4,30.1,0.02504855,Blocked
Thierry Henry,Arsenal,57,93.6,50.2,0.024248723,Saved
Patrick Vieira,Arsenal,57,111.8,33.7,0.37884092,Saved
Robert Pirès,Arsenal,57,114.4,43.6,0.31943944,Goal
Fredrik Ljungberg,Arsenal,75,96.7,24.8,0.04086888,Post
