passer,team,pass_count,passer_x,passer_y,recipient,recipient_x,recipient_y
Thomas Gravesen,Everton,12.0,61.71785714285714,41.208928571428565,Nick Chadwick,78.5,33.07142857142857
Thomas Gravesen,Everton,10.0,61.71785714285714,41.208928571428565,Tomasz Radziński,81.07241379310345,38.658620689655166
Thomas Gravesen,Everton,10.0,61.71785714285714,41.208928571428565,Alessandro Pistone,58.865116279069774,70.07209302325582
Alessandro Pistone,Everton,9.0,58.865116279069774,70.07209302325582,Nick Chadwick,78.5,33.07142857142857
Alessandro Pistone,Everton,9.0,58.865116279069774,70.07209302325582,Steve Watson,77.35714285714286,58.38095238095238
Tomasz Radziński,Everton,9.0,81.07241379310345,38.658620689655166,Thomas Gravesen,61.71785714285714,41.208928571428565
Thomas Gravesen,Everton,9.0,61.71785714285714,41.208928571428565,David Unsworth,63.03333333333333,8.703333333333335
Joseph Phillip Yobo,Everton,8.0,46.1625,45.862500000000004,Thomas Gravesen,61.71785714285714,41.208928571428565
David Unsworth,Everton,7.0,63.03333333333333,8.703333333333335,Thomas Gravesen,61.71785714285714,41.208928571428565
David Unsworth,Everton,7.0,63.03333333333333,8.703333333333335,Nick Chadwick,78.5,33.07142857142857
Alessandro Pistone,Everton,7.0,58.865116279069774,70.07209302325582,Tobias Linderoth,62.01304347826087,52.165217391304346
David Unsworth,Everton,6.0,63.03333333333333,8.703333333333335,Alan Stubbs,42.22222222222222,30.274074074074072
Nick Chadwick,Everton,6.0,78.5,33.07142857142857,Tomasz Radziński,81.07241379310345,38.658620689655166
Alessandro Pistone,Everton,6.0,58.865116279069774,70.07209302325582,Thomas Gravesen,61.71785714285714,41.208928571428565
Mark Pembridge,Everton,5.0,82.29375,25.31875,Thomas Gravesen,61.71785714285714,41.208928571428565
Tobias Linderoth,Everton,5.0,62.01304347826087,52.165217391304346,David Unsworth,63.03333333333333,8.703333333333335
Steve Watson,Everton,5.0,77.35714285714286,58.38095238095238,Alessandro Pistone,58.865116279069774,70.07209302325582
Richard Wright,Everton,5.0,12.30952380952381,43.0,Steve Watson,77.35714285714286,58.38095238095238
