team,passer,recipient,pass_count
Arsenal,Laureano Bisan-Etame Mayer,Fredrik Ljungberg,18
Arsenal,Jens Lehmann,Thierry Henry,15
Arsenal,Ashley Cole,Patrick Vieira,13
Arsenal,Robert Pirès,Thierry Henry,12
Arsenal,Gilberto Aparecido da Silva,Patrick Vieira,12
Arsenal,Patrick Vieira,Thierry Henry,11
Arsenal,Fredrik Ljungberg,Laureano Bisan-Etame Mayer,11
Arsenal,Patrick Vieira,Robert Pirès,10
Arsenal,Fredrik Ljungberg,Thierry Henry,9
Arsenal,Ashley Cole,Robert Pirès,8
Arsenal,Laureano Bisan-Etame Mayer,Gilberto Aparecido da Silva,8
Arsenal,Patrick Vieira,Fredrik Ljungberg,8
Arsenal,Gilberto Aparecido da Silva,Thierry Henry,8
Arsenal,Patrick Vieira,Laureano Bisan-Etame Mayer,7
Arsenal,Gilberto Aparecido da Silva,Ashley Cole,7
Arsenal,Robert Pirès,Patrick Vieira,7
Arsenal,Patrick Vieira,Gilberto Aparecido da Silva,7
Arsenal,Fredrik Ljungberg,Gilberto Aparecido da Silva,6
Arsenal,Gilberto Aparecido da Silva,Laureano Bisan-Etame Mayer,6
Arsenal,Sylvain Wiltord,Fredrik Ljungberg,6
Arsenal,Laureano Bisan-Etame Mayer,Patrick Vieira,6
Arsenal,Kolo Habib Touré,Jens Lehmann,5
Arsenal,Ashley Cole,Thierry Henry,5
Arsenal,Robert Pirès,Ashley Cole,5
Arsenal,Thierry Henry,Robert Pirès,5
Arsenal,Martin Keown,Laureano Bisan-Etame Mayer,5
Arsenal,Fredrik Ljungberg,Patrick Vieira,5
Arsenal,Laureano Bisan-Etame Mayer,Kolo Habib Touré,4
Arsenal,Robert Pirès,Gilberto Aparecido da Silva,4
Arsenal,Thierry Henry,Fredrik Ljungberg,4
Arsenal,Thierry Henry,Gilberto Aparecido da Silva,4
Arsenal,Thierry Henry,Patrick Vieira,4
Arsenal,Ray Parlour,Gilberto Aparecido da Silva,4
Arsenal,Thierry Henry,Ray Parlour,4
Arsenal,Patrick Vieira,Ray Parlour,4
Arsenal,Sylvain Wiltord,Patrick Vieira,3
Arsenal,Jens Lehmann,Patrick Vieira,3
Arsenal,Robert Pirès,Sylvain Wiltord,3
Arsenal,Patrick Vieira,Sylvain Wiltord,3
Arsenal,Gilberto Aparecido da Silva,Sylvain Wiltord,3
Arsenal,Gilberto Aparecido da Silva,Fredrik Ljungberg,3
Arsenal,Gilberto Aparecido da Silva,Robert Pirès,3
Arsenal,Ashley Cole,Jens Lehmann,3
Arsenal,Laureano Bisan-Etame Mayer,Sylvain Wiltord,3
