player,team,minute,x,y,shot_statsbomb_xg,shot_outcome
Sylvain Wiltord,Arsenal,3,91.5,37.1,0.02833326,Off T
Mark Pembridge,Everton,4,80.7,28.4,0.006075898,Saved
Nick Chadwick,Everton,6,111.7,39.3,0.42166844,Saved
Mark Pembridge,Everton,6,109.8,23.9,0.01888357,Blocked
Thierry Henry,Arsenal,10,92.5,11.9,0.005752155,Off T
Thomas Gravesen,Everton,12,88.5,54.5,0.008137677,Off T
Thierry Henry,Arsenal,15,99.0,47.7,0.08502913,Off T
Kolo Habib Touré,Arsenal,18,114.5,46.0,0.084166765,Off T
Tomasz Radziński,Everton,20,101.5,52.6,0.04726936,Off T
Alan Stubbs,Everton,26,101.9,37.9,0.118119426,Blocked
Robert Pirès,Arsenal,31,98.4,44.7,0.031619214,Blocked
Thierry Henry,Arsenal,34,107.9,39.7,0.7835,Goal
Robert Pirès,Arsenal,37,107.9,37.8,0.10632388,Off T
Tomasz Radziński,Everton,41,95.8,48.8,0.035611797,Blocked
Martin Keown,Arsenal,49,115.8,47.3,0.07569863,Blocked
Patrick Vieira,Arsenal,51,115.2,42.6,0.13228226,Off T
Thomas Gravesen,Everton,55,97.1,27.6,0.016661344,Blocked
Tomasz Radziński,Everton,56,111.5,54.6,0.035544038,Off T
Patrick Vieira,Arsenal,57,92.4,30.1,0.02504855,Blocked
Thierry Henry,Arsenal,57,93.6,50.2,0.024248723,Saved
Patrick Vieira,Arsenal,57,111.8,33.7,0.37884092,Saved
Robert Pirès,Arsenal,57,114.4,43.6,0.31943944,Goal
Gary Naysmith,Everton,67,109.6,28.6,0.020559687,Saved
Wayne Mark Rooney,Everton,72,100.3,37.6,0.085202426,Blocked
Steve Watson,Everton,72,112.9,41.2,0.18165162,Off T
Fredrik Ljungberg,Arsenal,75,96.7,24.8,0.04086888,Post
Steve Watson,Everton,80,108.0,47.8,0.020363199,Saved
Tomasz Radziński,Everton,83,105.8,32.7,0.20013832,Goal
Joseph Phillip Yobo,Everton,88,108.5,34.9,0.05159651,Off T
