player,team,Carry,Dribble,Pass,Shot,total_attacking_stats
Patrick Vieira,Arsenal,52,5,62,3,122
Thomas Gravesen,Everton,50,3,58,2,113
Laureano Bisan-Etame Mayer,Arsenal,42,2,52,0,96
Alessandro Pistone,Everton,33,1,55,0,89
Robert Pirès,Arsenal,40,6,39,3,88
Gilberto Aparecido da Silva,Arsenal,39,0,49,0,88
Fredrik Ljungberg,Arsenal,38,5,39,1,83
Thierry Henry,Arsenal,35,7,29,4,75
Ashley Cole,Arsenal,26,3,37,0,66
David Unsworth,Everton,21,0,39,0,60
Jens Lehmann,Arsenal,20,0,39,0,59
Tomasz Radziński,Everton,23,0,30,4,57
Steve Watson,Everton,19,3,26,2,50
Alan Stubbs,Everton,16,0,29,1,46
Joseph Phillip Yobo,Everton,14,0,28,1,43
Tobias Linderoth,Everton,11,0,28,0,39
Nick Chadwick,Everton,14,0,19,1,34
Richard Wright,Everton,10,0,23,0,33
Kolo Habib Touré,Arsenal,12,0,18,1,31
Mark Pembridge,Everton,10,0,18,2,30
Ray Parlour,Arsenal,13,1,15,0,29
Martin Keown,Arsenal,11,0,17,1,29
Sylvain Wiltord,Arsenal,8,0,17,1,26
Gary Naysmith,Everton,8,0,16,1,25
Sulzeer Jeremiah ''Sol' Campbell,Arsenal,6,0,9,0,15
Wayne Mark Rooney,Everton,5,0,9,1,15
Tie Li,Everton,1,0,3,0,4
