minute,second,team,player,shot_statsbomb_xg,shot_outcome,cumulative_xg
3,51,Arsenal,Sylvain Wiltord,0.02833326,Off T,0.02833326
4,23,Everton,Mark Pembridge,0.006075898,Saved,0.006075898
6,10,Everton,Nick Chadwick,0.42166844,Saved,0.427744338
6,14,Everton,Mark Pembridge,0.01888357,Blocked,0.446627908
10,31,Arsenal,Thierry Henry,0.005752155,Off T,0.034085415
12,43,Everton,Thomas Gravesen,0.008137677,Off T,0.45476558499999997
15,2,Arsenal,Thierry Henry,0.08502913,Off T,0.11911454499999999
18,15,Arsenal,Kolo Habib Touré,0.084166765,Off T,0.20328131
20,44,Everton,Tomasz Radziński,0.04726936,Off T,0.502034945
26,43,Everton,Alan Stubbs,0.118119426,Blocked,0.620154371
31,48,Arsenal,Robert Pirès,0.031619214,Blocked,0.234900524
34,19,Arsenal,Thierry Henry,0.7835,Goal,1.018400524
37,23,Arsenal,Robert Pirès,0.10632388,Off T,1.124724404
41,34,Everton,Tomasz Radziński,0.035611797,Blocked,0.655766168
49,0,Arsenal,Martin Keown,0.07569863,Blocked,1.200423034
51,22,Arsenal,Patrick Vieira,0.13228226,Off T,1.332705294
55,5,Everton,Thomas Gravesen,0.016661344,Blocked,0.6724275120000001
56,6,Everton,Tomasz Radziński,0.035544038,Off T,0.70797155
57,9,Arsenal,Patrick Vieira,0.02504855,Blocked,1.3577538439999999
57,13,Arsenal,Thierry Henry,0.024248723,Saved,1.382002567
57,15,Arsenal,Patrick Vieira,0.37884092,Saved,1.7608434869999998
57,17,Arsenal,Robert Pirès,0.31943944,Goal,2.080282927
67,20,Everton,Gary Naysmith,0.020559687,Saved,0.728531237
72,10,Everton,Wayne Mark Rooney,0.085202426,Blocked,0.813733663
72,14,Everton,Steve Watson,0.18165162,Off T,0.9953852830000001
75,40,Arsenal,Fredrik Ljungberg,0.04086888,Post,2.121151807
80,48,Everton,Steve Watson,0.020363199,Saved,1.015748482
83,38,Everton,Tomasz Radziński,0.20013832,Goal,1.215886802
88,1,Everton,Joseph Phillip Yobo,0.05159651,Off T,1.267483312
