player,team,Shot,Pass,Carry,Dribble,shot_share,pass_share,carry_share,dribble_share,balanced_score
Thierry Henry,Arsenal,4,29,35,7,0.13793103448275862,0.0361145703611457,0.060658578856152515,0.19444444444444445,0.4291486281445013
Patrick Vieira,Arsenal,3,62,52,5,0.10344827586206896,0.07721046077210461,0.09012131715771231,0.1388888888888889,0.4096689426807748
Robert Pirès,Arsenal,3,39,40,6,0.10344827586206896,0.048567870485678705,0.06932409012131716,0.16666666666666666,0.3880069031357315
Thomas Gravesen,Everton,2,58,50,3,0.06896551724137931,0.0722291407222914,0.08665511265164645,0.08333333333333333,0.31118310394865045
Fredrik Ljungberg,Arsenal,1,39,38,5,0.034482758620689655,0.048567870485678705,0.0658578856152513,0.1388888888888889,0.28779740361050854
Steve Watson,Everton,2,26,19,3,0.06896551724137931,0.0323785803237858,0.03292894280762565,0.08333333333333333,0.21760637370612407
Tomasz Radziński,Everton,4,30,23,0,0.13793103448275862,0.037359900373599,0.03986135181975736,0.0,0.21515228667611497
Laureano Bisan-Etame Mayer,Arsenal,0,52,42,2,0.0,0.0647571606475716,0.07279029462738301,0.05555555555555555,0.19310301083051015
Ashley Cole,Arsenal,0,37,26,3,0.0,0.0460772104607721,0.045060658578856154,0.08333333333333333,0.1744712023729616
Alessandro Pistone,Everton,0,55,33,1,0.0,0.0684931506849315,0.05719237435008666,0.027777777777777776,0.15346330281279597
